0,2198
0,7395
1,856
1,2113
1,3013
1,5321
1,7359
2,2152
2,3592
2,3818
2,4183
2,4757
2,7558
2,7590
3,4086
3,6847
4,3474
4,4351
4,4673
5,2655
5,6952
6,2996
6,4311
7,433
7,491
7,2046
7,4126
7,4265
7,5413
7,6255
7,6525
8,748
8,936
8,1225
8,2529
8,3821
8,3978
8,6547
9,1298
9,2378
10,349
10,1088
10,3415
10,5509
10,7513
11,2168
11,7449
12,880
12,2282
12,7620
13,1160
13,3197
14,85
14,2129
15,2198
16,7505
17,2362
17,3988
17,6130
18,4376
18,5404
18,5816
19,279
19,1982
19,4351
19,5876
19,6278
19,6623
20,2071
20,2179
20,5375
20,7374
21,2034
21,3186
21,4000
21,4582
21,5656
21,7224
21,7316
22,1656
22,3563
22,3892
22,4143
22,4171
22,4426
22,4975
22,5686
22,6163
22,6653
22,6874
23,33
23,124
23,260
23,473
23,693
23,951
23,1614
23,2198
23,3079
23,3093
23,3237
23,3758
23,4074
23,4184
23,4210
23,4376
23,5756
24,366
24,400
24,1186
24,3893
24,5469
24,7247
25,838
25,3325
25,3699
25,4686
25,7398
26,592
26,1305
26,2871
26,3242
26,5061
26,6353
26,6983
26,7239
26,7283
27,6437
27,6551
27,6707
27,7290
28,920
28,1643
28,3385
28,3916
28,4001
28,4044
28,5498
28,5654
28,5918
28,6079
28,6282
28,6475
28,6627
28,6807
28,6996
28,7042
28,7297
28,7373
28,7526
29,2647
29,3041
29,3375
30,669
30,2732
30,4115
30,4665
30,5501
31,3227
31,4471
31,7095
31,7611
32,558
32,5158
33,7079
33,7085
33,7568
34,2704
34,4160
34,4805
34,7116
35,929
35,3541
35,6415
36,105
36,1429
36,4854
36,6085
37,1419
37,1773
37,3175
37,4760
37,4920
38,5491
39,629
39,1185
39,2113
39,3339
39,4302
39,5993
40,2273
40,2631
40,3382
40,4731
40,6079
40,6178
40,6511
40,6563
40,6683
40,7359
41,4714
41,6909
42,2689
42,3459
42,4071
42,4083
42,4954
42,7105
42,7599
43,630
43,3244
43,7507
44,1553
44,2105
44,3568
44,5149
44,6415
44,7004
44,7120
44,7571
45,2436
45,2453
45,3219
45,3437
45,4106
45,6117
45,6970
46,6583
47,334
47,3195
47,4338
47,6546
47,7456
48,2084
48,2586
48,4154
48,4373
48,4522
48,7020
48,7290
49,4584
50,5029
50,6015
51,161
51,1139
51,2225
51,3077
51,5801
52,6072
53,2669
53,4926
53,5894
53,6509
53,7606
53,7613
54,1256
54,2204
54,3201
54,4861
55,2990
55,5922
56,2100
56,4646
56,5024
57,1434
57,1969
57,3543
57,4467
57,6212
59,2528
59,3879
59,7460
60,689
60,2716
60,4872
60,6749
61,553
61,632
61,3359
61,6692
61,7036
61,7209
61,7617
62,1091
62,2425
62,6098
64,355
64,1304
64,5803
64,6144
66,2014
66,3168
66,4738
66,5817
66,7261
66,7316
